,Title,Star,Review
124,Fabulous!,5,Good in this price
121,Highly recommended,5,Nice phone 
185,Best in the market!,2,Thanks for flipkart but realme 5 phone in not value for money.
70,Brilliant,5,Best proccser..
179,Fair,4,Volume during Whatsapp calls are very low. No person can understand what they want to say
26,Fair,5,Totally waste of money. It has hardware issues
40,Great product,4,Absolutely good mobile in this price.Today 14th January 2022 still it's live with  best performance .
165,Great product,4,Really awsome battery is good
184,Wonderful,4,"So good phone, camera is super, batry is super, value for money"
16,Simply awesome,5,Nic product
19,Excellent,5,Happy with flipkart.. It's being a long time relationship with flipkart.. From 2019to 2021..we are expecting more love and care of our products which we are ordering..
21,Good choice,4,The camera is much better but performance in no good if you want to purchase this phone then go with higher ram and storage
72,Great product,5,very good productI have been using for 3 years nowRecommendedNo repairs till now Perfectly working Amazing cam
74,Super!,5,Nice Product 
159,Nice product,5,Very nice good looking mind blowing phone
162,Fair,5,"i am writing this review after 2 years of usage .this phone has very less brightness.even in full brightness it seems like dull dull .performance of 3,32GB variant is very laggy .phone hangs so much .camera is average ,neither too good not too bad .battery is good .Looks of phone are good."
32,Terrific purchase,5,4 years good work
82,Highly recommended,5,Happy
101,Wonderful,5,Best
158,Good,3,"Lags too much , camera not good."
79,Brilliant,5,Best budget phone at this price range
12,Simply awesome,5,Feature loaded phone...
144,Very Good,5,Nice product and worth for money must buy it
139,Bad quality,5,Hang out too many times
188,Best in the market!,3,Good phone for reasonable price. Don't expect too much.
51,Really Nice,5,Its a good device for little time users
10,Brilliant,5,No comparison
41,Good quality product,5,Nice quality 
145,Terrific,5,Excellent phone
55,Fabulous!,5,Not good for heavy use and very long time
83,Great product,5,Awesome product 
14,Value-for-money,4,"Not bad , value for money. Gud performance overall gud"
33,Wonderful,4,good
105,Must buy!,5,Best phonThanku flipkart
75,Fabulous!,5,Battery backup is good & display is good and camera is good it's range for good quality
63,Just wow!,5,I am writing this after 2.6 yrs. The battery performance is reduced now. Taking too much time to charge and battery is dropping faster than earlier. I am facing some storage issues and slowness.. other than this. Everything is looks so fine. Better front and back camera. Look is nice.
107,Just wow!,5,Love it. U can buy it best in year 2018 mid budget segment.
78,Must buy!,4,It's so wonderful product
171,Great product,4,Most powerful divce under this prise rate....
11,Terrific purchase,5,I had purchased it in 2019 but I am using this still nowsuperb Mobile battery and camera is too awesome 
168,Horrible,3,Very bad experience nd very bad for Flipkart emi options Im not Suggest from everyone... this soo poor experience.
128,Highly recommended,5,good quality
50,Must buy!,5,Lovely phone
99,Awesome,5,I have good experience with this phone.
180,Decent product,5,Average performance .......Lethargic after 6 months
69,Brilliant,5,Good mobile
181,Hated it!,4,"Garbage product, Cheap quality sensors."
118,Mind-blowing purchase,5,Very good product and very good service and very good delivery time and very good language
13,Excellent,5,Very very nice
109,Terrific,4,good pordack
157,Worth every penny,5,Best phone under 10k
125,Great product,5,Very nice
182,Does the job,4,Osom 
189,Terrific,3,Very nice phone
46,Brilliant,5,Very good product
34,Wonderful,5,Good product.
176,Super!,5,Very nice product
117,Slightly disappointed,5,Average quality
111,Awesome,4,Thanks
177,Nice product,5,Good product
102,Worthless,4,Worst product! Kindly do not purchase
129,Terrible product,5,I suggest every one please do not consider realme budget phone. Very bed experience
90,Best in the market!,5,Very nice and beautiful mobile phoneVery best budge phone
166,Just okay,4,It's a little heavy so didn't liked it that much.
60,Must buy!,5,My phone is 3years old
64,Excellent,5,Satisfied
116,Nice product,5,Nice products
92,Perfect product!,5,Very good mobile
73,Highly recommended,5,Very gud phone in this price segment
84,Classy product,5,It's a very good phone for anyone in the mid section income buyer recommend buying it
87,Brilliant,4,Very good
93,Worth every penny,4,Best phone
134,Perfect product!,4,Good phone
77,Best in the market!,5,Ok
138,Super!,4,Overall great phone according to prize. Working well. Good features
137,Highly recommended,5,Khub valo phone ata camera quality & colour too good ......thanku flipcart
151,Just wow!,5,I don't believe it wow it's very  good
152,Best in the market!,3,All good
43,Terrific purchase,5,worth
136,Hated it!,5,"Mobile speaker not working, it's just 1year, I did not expect this bad performance, behaviour for real me brand, it would be appriciable if I get good service or response from RealMe"
135,Worth every penny,5,Nice product 
39,Brilliant,4,Awesome performance
100,Hated it!,5,"After 1year of usage, it's having lag & lag too much"
186,Great product,3,"Awesome phone at this price range.... wonderful battery life, very good display, super speaker output.Phone is sturdy also, still now dropped from shirt pocket many times, no physical damage (I have additionally add tempered screen guard (those selling at footpath wala screen guard)"
31,Moderate,5,Motherboard  very poor
47,Highly recommended,5,Best performance 
132,Simply awesome,5,What a phone man 
81,Simply awesome,5,Jj
104,Classy product,4,Nice product
38,Brilliant,5,", nice"
155,Must buy!,3,Always GoodVerry good camera according this price
88,Simply awesome,5,Very good product battery backup is must
123,Brilliant,5,Best product I ever ordered best service best value for money
20,Terrific purchase,5,Dz phone z very good i love it 
45,Perfect product!,5,Best' products
85,Perfect product!,5,Nyc
174,Simply awesome,3,"It's Good, I'm Happy to purchase..."
170,Good,5,Best camera
160,Wonderful,5,Nice and good product
172,Brilliant,5,Osm
126,Mind-blowing purchase,5,Nice
149,Highly recommended,4,Nice mobile.Value for money.
44,Nice product,5,I like realme
86,Excellent,5,Top posts phone h
22,Not recommended at all,5,Quality is not good
156,Awesome,5,Good mobilr in budget
187,Fair,4,Not so great
133,Classy product,4,Good products
67,Excellent,5,Best mobile
183,Terrific,3,Good
66,Great product,5,Superb
28,Awesome,4,Nice phone
15,Terrific,5,g mob
